"No.","Time","Source","Destination","Protocol","Length","Info"
"16898","8402.541505","HewlettPacka_33:12:d3","MS-NLB-PhysServer-16_18:7b:f7:64","ARP","42","Who has 192.168.0.1? Tell 192.168.0.251"
"16899","8402.542130","MS-NLB-PhysServer-16_18:7b:f7:64","HewlettPacka_33:12:d3","ARP","60","192.168.0.1 is at 02:10:18:7b:f7:64"
"16900","8411.975096","HewlettPacka_33:12:d3","Nearest-Bridge","LLDP","67","LA/DESKTOP-36EET04 MA/c8:d9:d2:33:12:d3 3601 "
"16901","8414.502736","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0x15bd A wpad.telekom.ip"
"16902","8414.502842","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0xd724 A wpad.telekom.ip"
"16903","8414.503001","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0x9ea5 AAAA wpad.telekom.ip"
"16904","8414.503503","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","95","Standard query 0x994b AAAA wpad.telekom.ip"
"16905","8414.505808","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","95","Standard query response 0x15bd No such name A wpad.telekom.ip"
"16906","8414.507038","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","95","Standard query response 0xd724 No such name A wpad.telekom.ip"
"16907","8414.516382","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","170","Standard query response 0x9ea5 No such name AAAA wpad.telekom.ip SOA a.root-servers.net"
"16908","8414.516382","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","170","Standard query response 0x994b No such name AAAA wpad.telekom.ip SOA a.root-servers.net"
"16909","8419.026143","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"16910","8419.026480","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","78","Neighbor Advertisement 2a02:8388:8640:7a80:10:18ff:fe7b:f764 (rtr, sol)"
"16911","8423.998213","1.0.168.192","224.0.0.1","ICMP","60","Mobile IP Advertisement (Normal router advertisement)"
"16912","8427.059781","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16913","8427.086276","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"16914","8427.764315","fe80::10:18ff:fe7b:f764","ff02::15d","UDP","110","14045  >  14041 Len=48"
"16915","8452.480986","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16916","8452.507273","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"16917","8457.029877","HewlettPacka_33:12:d3","MS-NLB-PhysServer-16_18:7b:f7:64","ARP","42","Who has 192.168.0.1? Tell 192.168.0.251"
"16918","8457.030674","MS-NLB-PhysServer-16_18:7b:f7:64","HewlettPacka_33:12:d3","ARP","60","192.168.0.1 is at 02:10:18:7b:f7:64"
"16919","8476.917363","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16920","8476.943581","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"16921","8476.944020","2001:0:14c9:d804:3c35:7b0a:ab8c:2233","ff02::1","IPv6","82","IPv6 no next header"
"16922","8487.766466","fe80::10:18ff:fe7b:f764","ff02::15d","UDP","110","14045  >  14041 Len=48"
"16923","8499.121202","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","117","Standard query 0xd314 A array617.prod.do.dsp.mp.microsoft.com"
"16924","8499.121958","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","DNS","117","Standard query 0x6e76 AAAA array617.prod.do.dsp.mp.microsoft.com"
"16925","8499.131005","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","133","Standard query response 0xd314 A array617.prod.do.dsp.mp.microsoft.com A 72.145.35.112"
"16926","8499.133772","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","DNS","190","Standard query response 0x6e76 AAAA array617.prod.do.dsp.mp.microsoft.com SOA ns1-06.azure-dns.com"
"16927","8499.135343","192.168.0.251","72.145.35.112","TCP","66","63345  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"16928","8499.183214","72.145.35.112","192.168.0.251","TCP","66","443  >  63345 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1420 WS=256 SACK_PERM"
"16929","8499.183405","192.168.0.251","72.145.35.112","TCP","54","63345  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"16930","8499.185203","192.168.0.251","72.145.35.112","TLSv1.2","274","Client Hello (SNI=array617.prod.do.dsp.mp.microsoft.com)"
"16931","8499.234989","72.145.35.112","192.168.0.251","TCP","1066","[TCP Previous segment not captured] 443  >  63345 [PSH, ACK] Seq=1421 Ack=221 Win=4194304 Len=1012"
"16932","8499.235059","192.168.0.251","72.145.35.112","TCP","66","[TCP Dup ACK 16929#1] 63345  >  443 [ACK] Seq=221 Ack=1 Win=65280 Len=0 SLE=1421 SRE=2433"
"16933","8499.235148","72.145.35.112","192.168.0.251","TCP","1474","[TCP Out-Of-Order] 443  >  63345 [ACK] Seq=1 Ack=221 Win=4194304 Len=1420"
"16934","8499.235247","192.168.0.251","72.145.35.112","TCP","54","63345  >  443 [ACK] Seq=221 Ack=2433 Win=65280 Len=0"
"16935","8499.244295","192.168.0.251","72.145.35.112","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"16936","8499.292971","72.145.35.112","192.168.0.251","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"16937","8499.293151","72.145.35.112","192.168.0.251","TLSv1.2","123","Application Data"
"16938","8499.293204","192.168.0.251","72.145.35.112","TCP","54","63345  >  443 [ACK] Seq=379 Ack=2553 Win=65280 Len=0"
